Name,RA,DEC
TIC376682699,22.690151,69.074447
TIC376838000,22.727310,69.091928
TIC377144784,22.829595,68.251071
TIC377191482,19.062474,59.164074
TIC377293776,19.123604,59.086625
TIC377304435,19.136677,55.303691
TIC377420580,22.797649,60.173632
TIC377739433,23.238279,65.957972
TIC378159598,19.648182,41.565154
TIC378291076,23.880909,61.36026
TIC384045439,21.818396,53.293768
TIC385105624,3.387207,46.682113
TIC387259626,20.578019,66.440384
TIC387260717,20.623255,70.954088
TIC387413037,20.749102,69.151807
TIC387527558,20.821805,70.796604
TIC387664866,21.569908,50.481445
TIC387664868,21.570024,50.481865
TIC387834907,21.044607,70.0803
TIC388076005,21.203320,68.05247
TIC389182138,22.909004,54.161814
TIC395142888,22.353390,59.560814
TIC395171208,21.667636,48.406767
TIC396562848,2.955925,76.551405
TIC396740648,6.516581,66.360596
TIC403256331,0.283289,58.679253
TIC405794804,21.647627,65.039172
TIC405904232,20.104175,52.164181
TIC407394748,0.361377,77.880071
TIC408203470,20.480729,33.413959
TIC409183335,5.453855,38.597453
TIC409520860,23.696793,37.186566
TIC410528770,21.881060,60.569156
TIC414870287,22.458178,59.43379
TIC415741431,22.609623,58.276061
TIC416195870,19.149473,57.344126
TIC416624606,20.669204,50.323742
TIC416987878,21.526143,50.320713
TIC417676622,19.402154,49.040213
TIC417705690,23.240502,76.93432
TIC417931607,12.434952,61.258929
TIC417948359,13.279747,49.861059
TIC418959198,22.993818,36.517666
TIC418987806,0.434628,63.319412
TIC420112589,19.344932,73.195108
TIC420288086,0.730848,61.835626
TIC42123111,20.148005,38.245221
TIC421308357,19.254540,57.760569
TIC422756130,1.461449,72.296615
TIC422923265,2.683039,42.871248
TIC424435940,18.313417,45.172219
TIC424865156,19.483146,47.969543
TIC427654774,23.285938,70.190576
TIC427761355,23.484501,67.034806
TIC428065977,22.608025,52.115714
TIC430528566,22.211435,52.901085
TIC43064903,20.177942,40.668628
TIC430677414,22.244647,53.239557
TIC431148743,22.332087,53.662497
TIC431156009,22.693052,51.965285
TIC431514478,23.800085,49.790533
TIC431585347,23.844936,50.354962
TIC431899140,3.748169,45.507188
TIC432549364,0.024140,39.383795
TIC434718964,23.032538,64.067337
TIC440100539,0.290568,42.282204
TIC441732151,17.191783,72.135555
TIC441739020,17.267817,72.161181
TIC441797803,17.625263,73.261193
TIC444415148,0.420594,62.543115
TIC445137888,0.753493,56.070058
TIC445144327,0.748944,58.712058
TIC445859771,14.274724,58.390253
TIC44631965,1.482426,35.864854
TIC452803785,22.562336,52.636337
TIC455791689,23.089824,46.903117
TIC455962313,22.669106,65.439728
TIC458914949,3.228228,61.907831
TIC459969957,16.987744,65.747438
TIC459978312,17.037694,64.600893
TIC461387302,0.201453,66.650523
TIC467179528,13.199772,65.833697
TIC468472950,21.418881,40.887821
TIC468828873,6.124803,66.857699
TIC468845640,22.522273,53.796052
TIC470315428,4.309899,52.865032
TIC470381900,4.352043,48.819831
TIC470709084,23.824540,61.682819
TIC470852531,23.982745,61.554089
TIC50120414,2.659407,62.433306
TIC51024887,2.810346,62.18926
TIC52041724,0.941299,65.679038
TIC53875855,0.976863,34.148042
TIC58542531,4.398643,27.82237
TIC64553698,22.563531,57.563539
TIC64836837,22.586435,55.031026
TIC66445643,22.759087,48.161556
TIC66783360,22.798060,49.918072
TIC67309890,22.877080,48.55001
TIC67418624,1.910688,37.005042
TIC68152139,2.960120,40.016703
